date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:59:58	4677/4677	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2011%20Mar%202026%2002:31:42%20GMT	https://chk.customsqr.com/robots.txt		(from )
03:59:59	8519/8519	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Aug%202026%2000:59:57%20GMT	https://chk.customsqr.com/?id=OEFLRFJMRSpnaWdlYmkr	C:/Users/TechnoMaster/Music/BARKOD%20AGZA/NAZEM/chk.customsqr.com/indexe365.html	(from )
03:59:59	1085/1085	---M--	200	added ('OK')	text/css	date:Mon,%2018%20Oct%202021%2021:39:20%20GMT	https://chk.customsqr.com/assets/css/Account-setting-or-edit-profile.css	C:/Users/TechnoMaster/Music/BARKOD%20AGZA/NAZEM/chk.customsqr.com/assets/css/Account-setting-or-edit-profile.css	(from https://chk.customsqr.com/?id=OEFLRFJMRSpnaWdlYmkr)
03:59:59	162675/162675	---M--	200	added ('OK')	text/css	date:Mon,%2018%20Oct%202021%2021:39:20%20GMT	https://chk.customsqr.com/assets/bootstrap/css/bootstrap.min.css	C:/Users/TechnoMaster/Music/BARKOD%20AGZA/NAZEM/chk.customsqr.com/assets/bootstrap/css/bootstrap.min.css	(from https://chk.customsqr.com/?id=OEFLRFJMRSpnaWdlYmkr)
03:59:59	0/0	---M--	200	added ('OK')	text/css	date:Mon,%2018%20Oct%202021%2021:39:20%20GMT	https://chk.customsqr.com/assets/css/styles.css	C:/Users/TechnoMaster/Music/BARKOD%20AGZA/NAZEM/chk.customsqr.com/assets/css/styles.css	(from https://chk.customsqr.com/?id=OEFLRFJMRSpnaWdlYmkr)
04:00:00	21840/21840	---M--	200	added ('OK')	image/png	date:Mon,%2018%20Oct%202021%2022:29:38%20GMT	https://chk.customsqr.com/10.png	C:/Users/TechnoMaster/Music/BARKOD%20AGZA/NAZEM/chk.customsqr.com/10.png	(from https://chk.customsqr.com/?id=OEFLRFJMRSpnaWdlYmkr)
04:00:00	78468/78468	---M--	200	added ('OK')	text/javascript	date:Mon,%2018%20Oct%202021%2021:39:20%20GMT	https://chk.customsqr.com/assets/bootstrap/js/bootstrap.min.js	C:/Users/TechnoMaster/Music/BARKOD%20AGZA/NAZEM/chk.customsqr.com/assets/bootstrap/js/bootstrap.min.js	(from https://chk.customsqr.com/?id=OEFLRFJMRSpnaWdlYmkr)
04:00:00	35/35	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Aug%202026%2001:00:00%20GMT	https://chk.customsqr.com/	C:/Users/TechnoMaster/Music/BARKOD%20AGZA/NAZEM/chk.customsqr.com/index.html	(from https://chk.customsqr.com/assets/bootstrap/css/bootstrap.min.css)
